event_minute,realized_vol,mean_abs_ret,n_obs,realized_vol_bps,mean_abs_ret_bps
-119,0.00030487119372904904,0.000261157698942936,35,3.0487119372904905,2.61157698942936
-118,0.0002972722902280533,0.0002519627230141351,35,2.972722902280533,2.519627230141351
-117,0.000268291549326595,0.0002000519408141039,35,2.68291549326595,2.000519408141039
-116,0.00026738009736744305,0.000204930516226958,35,2.6738009736744304,2.04930516226958
-115,0.0002875219797265012,0.00021769580917186155,35,2.875219797265012,2.1769580917186153
-114,0.000307051072079321,0.0002770230459398298,35,3.07051072079321,2.770230459398298
-113,0.00027599873603057363,0.00023201545003764018,35,2.759987360305736,2.3201545003764017
-112,0.00023434245412578018,0.00017179471549729289,35,2.343424541257802,1.7179471549729288
-111,0.00028869597014166855,0.00022119060049940385,35,2.8869597014166857,2.2119060049940384
-110,0.0002303644830905621,0.0001784358390843518,35,2.303644830905621,1.784358390843518
-109,0.0003530877585862818,0.0002802446223552936,35,3.530877585862818,2.8024462235529364
-108,0.00022327979605255637,0.0001927394236432686,35,2.2327979605255637,1.927394236432686
-107,0.00024398308229335797,0.00019302332569429227,35,2.4398308229335797,1.9302332569429226
-106,0.0002708170147875172,0.00023059267004583718,35,2.708170147875172,2.3059267004583717
-105,0.00033203685377677326,0.0002704043354212514,35,3.3203685377677328,2.704043354212514
-104,0.0003440220059125991,0.00027306720476154566,35,3.4402200591259913,2.7306720476154567
-103,0.0002430227189988787,0.00019348363547249748,35,2.4302271899887873,1.9348363547249747
-102,0.0002996293489438199,0.0002451245624407302,35,2.996293489438199,2.451245624407302
-101,0.00031758316441008686,0.0002657149611057516,35,3.1758316441008687,2.6571496110575157
-100,0.0003433797399805568,0.00024772357563363254,35,3.433797399805568,2.4772357563363254
-99,0.00030248064601634664,0.00024177763929133432,35,3.0248064601634663,2.417776392913343
-98,0.0003018397883930602,0.0002524211811532443,35,3.018397883930602,2.524211811532443
-97,0.00025449952642079025,0.0002039777510199871,35,2.5449952642079023,2.039777510199871
-96,0.00026286994446910513,0.00020972017866363046,35,2.628699444691051,2.0972017866363046
-95,0.00032561329652675057,0.0002514781614831715,35,3.2561329652675055,2.5147816148317146
-94,0.0003125016074766567,0.00026663638848905944,35,3.1250160747665667,2.6663638848905946
-93,0.00034508853484890617,0.0002738386236657675,35,3.4508853484890616,2.738386236657675
-92,0.00026353312032178003,0.00021448214337646781,35,2.6353312032178002,2.1448214337646783
-91,0.0002826025639690933,0.00023368161944574694,35,2.8260256396909327,2.3368161944574695
-90,0.0002569478045252698,0.00017731161477791652,35,2.569478045252698,1.7731161477791653
-89,0.00033058825894308945,0.0002529627924405174,35,3.3058825894308943,2.5296279244051743
-88,0.00028324173887453897,0.00023637783893611138,35,2.8324173887453896,2.363778389361114
-87,0.0002603674402554958,0.00019543365472404365,35,2.603674402554958,1.9543365472404366
-86,0.0002494589605632959,0.00019415677119809515,35,2.494589605632959,1.9415677119809516
-85,0.0003035699888865027,0.00024587752396558113,35,3.035699888865027,2.4587752396558114
-84,0.0002816131756692767,0.00022648899954300005,35,2.816131756692767,2.2648899954300004
